[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=9
[eBPF] Layer 3: ✅ global_map id=10

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260401_112753.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   96.5       HEAVY   RECOVERING    MODERATE  131923.5    255       0      0    0.00ms      MICE    1.0ms    256    15
   97.0       HEAVY       STABLE       HEAVY  131057.0    246       0      0    0.00ms      MICE    1.0ms    256    15
   97.5       HEAVY   RECOVERING    MODERATE  130329.6    244       0      0    0.00ms      MICE    1.0ms    256    15
   98.0       HEAVY   RECOVERING    MODERATE  130238.1    250       0      0    0.00ms      MICE    1.0ms    256    15
   98.5       HEAVY   RECOVERING    MODERATE  126626.2    237       0      0    0.00ms      MICE    1.0ms    256    15
   99.0       HEAVY   RECOVERING    MODERATE  129610.9    244       0      0    0.00ms      MICE    1.0ms    256    15
   99.5       HEAVY   RECOVERING    MODERATE  131464.1    245       0      0    0.00ms      MICE    1.0ms    256    15
  100.1       HEAVY   RECOVERING    MODERATE  131718.8    238       0      0    0.00ms      MICE    1.0ms    256    15
  100.6       HEAVY       STABLE       HEAVY  132994.9    253       0      0    0.00ms      MICE    1.0ms    256    15
  101.1       HEAVY   RECOVERING    MODERATE  128306.4    246       0      0    0.00ms      MICE    1.0ms    256    15
  101.6       HEAVY       STABLE       HEAVY  129579.4    249       0      0    0.00ms      MICE    1.0ms    256    15
  102.1       HEAVY       STABLE       HEAVY  130841.7    253       0      0    0.00ms      MICE    1.0ms    256    15
  102.6       HEAVY       STABLE       HEAVY  129514.0    236       0      0    0.00ms      MICE    1.0ms    256    15
  103.1       HEAVY   RECOVERING    MODERATE  127030.2    250       0      0    0.00ms      MICE    1.0ms    256    15
  103.7       HEAVY   RECOVERING    MODERATE  132569.7    231       0      0    0.00ms      MICE    1.0ms    256    15
  104.2       HEAVY   RECOVERING    MODERATE  123521.7    242       0      0    0.00ms      MICE    1.0ms    256    15
  104.7       HEAVY   RECOVERING    MODERATE  128539.2    241       0      0    0.00ms      MICE    1.0ms    256    15
  105.2       HEAVY   RECOVERING    MODERATE  132096.6    244       0      0    0.00ms      MICE    1.0ms    256    15
  105.7       HEAVY   RECOVERING    MODERATE  127303.1    253       0      0    0.00ms      MICE    1.0ms    256    15
