[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns_router/veth_rs...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=37
[eBPF] Layer 3: ✅ global_map id=38

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260409_122449.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
   73.5       HEAVY       STABLE       HEAVY     187.9      7       0      0    0.00ms      MICE    1.3ms    257    13
   74.0       HEAVY       STABLE       HEAVY     205.8     10       0      0    0.00ms      MICE    1.3ms    257    13
   74.5       HEAVY       STABLE       HEAVY     165.4     17       0      0    0.00ms      MICE    1.3ms    257    13
   75.0       HEAVY       STABLE       HEAVY     194.5     12       0      0    0.00ms      MICE    1.3ms    257    13
   75.5       HEAVY       STABLE       HEAVY     168.1     12       0      0    0.00ms      MICE    1.3ms    257    13
   76.1       HEAVY       STABLE       HEAVY     193.2     11       0      0    0.00ms      MICE    1.3ms    257    13
   76.6       HEAVY       STABLE       HEAVY     172.8     13       0      0    0.00ms      MICE    1.1ms    256    14
   77.1       HEAVY       STABLE       HEAVY     172.2     10       0      0    0.00ms      MICE    1.1ms    256    14
   77.6       HEAVY       STABLE       HEAVY     158.7     11       0      0    0.00ms      MICE    1.1ms    256    14
   78.1       HEAVY       STABLE       HEAVY     204.7     13       0      0    0.00ms      MICE    1.1ms    256    14
   78.6       HEAVY       STABLE       HEAVY     208.5      5       0      0    0.00ms      MICE    1.1ms    256    14
   79.1       HEAVY       STABLE       HEAVY     184.1     15       0      0    0.00ms      MICE    1.1ms    256    14
   79.6       HEAVY       STABLE       HEAVY     181.3      9       0      0    0.00ms      MICE    1.1ms    256    14
   80.1       HEAVY       STABLE       HEAVY     163.3     11       0      0    0.00ms      MICE    1.1ms    256    14
   80.6       HEAVY       STABLE       HEAVY     150.8     14       0      0    0.00ms      MICE    1.1ms    256    14
   81.2       HEAVY       STABLE       HEAVY     192.4     10       0      0    0.00ms      MICE    1.1ms    256    14
   81.7       HEAVY       STABLE       HEAVY     192.9      7       0      0    0.00ms      MICE    1.0ms    256    15
   82.2       HEAVY       STABLE       HEAVY     187.9      9       0      0    0.00ms      MICE    1.0ms    256    15
   82.7       HEAVY       STABLE       HEAVY     164.2     10       0      0    0.00ms      MICE    1.0ms    256    15
   83.2       HEAVY       STABLE       HEAVY     171.5      7       0      0    0.00ms      MICE    1.0ms    256    15
   83.7       HEAVY       STABLE       HEAVY     189.3     12       0      0    0.00ms      MICE    1.0ms    256    15
   84.2       HEAVY       STABLE       HEAVY     179.0      9       0      0    0.00ms      MICE    1.0ms    256    15
   84.7       HEAVY       STABLE       HEAVY     173.3      7       0      0    0.00ms      MICE    1.0ms    256    15
   85.2       HEAVY       STABLE       HEAVY     163.0      9       0      0    0.00ms      MICE    1.0ms    256    15
   85.7       HEAVY       STABLE       HEAVY     168.6     16       0      0    0.00ms      MICE    1.0ms    256    15
   86.3       HEAVY       STABLE       HEAVY     193.7     12       0      0    0.00ms      MICE    1.0ms    256    15
   86.8       HEAVY       STABLE       HEAVY     188.8     10       0      0    0.00ms      MICE    1.0ms    256    15
   87.3       HEAVY       STABLE       HEAVY     173.5     12       0      0    0.00ms      MICE    1.0ms    256    15
   87.8       HEAVY       STABLE       HEAVY     159.1     13       0      0    0.00ms      MICE    1.0ms    256    15
   88.3       HEAVY       STABLE       HEAVY     182.7     12       0      0    0.00ms      MICE    1.0ms    256    15
   88.8       HEAVY       STABLE       HEAVY     186.3      5       0      0    0.00ms      MICE    1.0ms    256    15
   89.3       HEAVY       STABLE       HEAVY     169.3     15       0      0    0.00ms      MICE    1.0ms    256    15
   89.8       HEAVY       STABLE       HEAVY     186.7     11       0      0    0.00ms      MICE    1.0ms    256    15
   90.3       HEAVY       STABLE       HEAVY     167.4      9       0      0    0.00ms      MICE    1.0ms    256    15
   90.8       HEAVY       STABLE       HEAVY     174.9      4       0      0    0.00ms      MICE    1.0ms    256    15
   91.3       HEAVY       STABLE       HEAVY     179.4     10       0      0    0.00ms      MICE    1.0ms    256    15
   91.9       HEAVY       STABLE       HEAVY     171.1     14       0      0    0.00ms      MICE    1.0ms    256    15
   92.4       HEAVY       STABLE       HEAVY     188.8     11       0      0    0.00ms      MICE    1.0ms    256    15
   92.9       HEAVY       STABLE       HEAVY     178.8     16       0      0    0.00ms      MICE    1.0ms    256    15
   93.4       HEAVY       STABLE       HEAVY     174.0     11       0      0    0.00ms      MICE    1.0ms    256    15
   93.9       HEAVY       STABLE       HEAVY     193.5      9       0      0    0.00ms      MICE    1.0ms    256    15
   94.4       HEAVY       STABLE       HEAVY     194.8      8       0      0    0.00ms      MICE    1.0ms    256    15
   94.9       HEAVY       STABLE       HEAVY     210.5      9       0      0    0.00ms      MICE    1.0ms    256    15
   95.4       HEAVY       STABLE       HEAVY     173.1     12       0      0    0.00ms      MICE    1.0ms    256    15
   95.9       HEAVY       STABLE       HEAVY     185.9     12       0      0    0.00ms      MICE    1.0ms    256    15
   96.4       HEAVY       STABLE       HEAVY     165.6     12       0      0    0.00ms      MICE    1.0ms    256    15
   97.0       HEAVY       STABLE       HEAVY     209.4      9       0      0    0.00ms      MICE    1.0ms    256    15
   97.5       HEAVY       STABLE       HEAVY     170.2      6       0      0    0.00ms      MICE    1.0ms    256    15
   98.0       HEAVY       STABLE       HEAVY     141.2     14       0      0    0.00ms      MICE    1.0ms    256    15
   98.5       HEAVY       STABLE       HEAVY     179.1     11       0      0    0.00ms      MICE    1.0ms    256    15
   99.0       HEAVY       STABLE       HEAVY     170.5      9       0      0    0.00ms      MICE    1.0ms    256    15
   99.5       HEAVY       STABLE       HEAVY     163.6     12       0      0    0.00ms      MICE    1.0ms    256    15
  100.0       HEAVY       STABLE       HEAVY     164.5     15       0      0    0.00ms      MICE    1.0ms    256    15
  100.5       HEAVY       STABLE       HEAVY     168.4     16       0      0    0.00ms      MICE    1.0ms    256    15
  101.0       HEAVY       STABLE       HEAVY     169.2     13       0      0    0.00ms      MICE    1.0ms    256    15
  101.5       HEAVY       STABLE       HEAVY     173.3     11       0      0    0.00ms      MICE    1.0ms    256    15
  102.1       HEAVY       STABLE       HEAVY     198.6     11       0      0    0.00ms      MICE    1.0ms    256    15
  102.6       HEAVY       STABLE       HEAVY     181.4     14       0      0    0.00ms      MICE    1.0ms    256    15
  103.1       HEAVY       STABLE       HEAVY     165.2     11       0      0    0.00ms      MICE    1.0ms    256    15
  103.6       HEAVY       STABLE       HEAVY     187.1     13       0      0    0.00ms      MICE    1.0ms    256    15
  104.1       HEAVY       STABLE       HEAVY     145.5     12       0      0    0.00ms      MICE    1.0ms    256    15
  104.6       HEAVY       STABLE       HEAVY     167.1      8       0      0    0.00ms      MICE    1.0ms    256    15
  105.1       HEAVY       STABLE       HEAVY     166.0     11       0      0    0.00ms      MICE    1.0ms    256    15
  105.6       HEAVY       STABLE       HEAVY     165.3     11       0      0    0.00ms      MICE    1.0ms    256    15
  106.1       HEAVY       STABLE       HEAVY     175.4     13       0      0    0.00ms      MICE    1.0ms    256    15
  106.6       HEAVY       STABLE       HEAVY     195.2      9       0      0    0.00ms      MICE    1.0ms    256    15
  107.2       HEAVY       STABLE       HEAVY     173.2     12       0      0    0.00ms      MICE    1.0ms    256    15
  107.7       HEAVY       STABLE       HEAVY     165.4     11       0      0    0.00ms      MICE    1.0ms    256    15
  108.2       HEAVY       STABLE       HEAVY     183.1     12       0      0    0.00ms      MICE    1.0ms    256    15
  108.7       HEAVY       STABLE       HEAVY     199.7     12       0      0    0.00ms      MICE    1.0ms    256    15
  109.2       HEAVY       STABLE       HEAVY     187.1     12       0      0    0.00ms      MICE    1.0ms    256    15
