========================================================================
  Adaptive RED Controller  —  Floyd, Gummadi & Shenker (ICSI 2001)
  ns=ns_router  iface=veth_rs  duration=630s
  min_th=20  max_th=300  max_p=0.5
  W_Q=0.002  alpha=0.01  beta=0.9
========================================================================
  NOTE: Adaptive RED adapts max_p (drop prob) mapped to target/limit
  It does NOT use gradient prediction, eBPF, or workload profiles
========================================================================
  t(s)    avg_q       dr/s      bl    tput   max_p   target  limit   adj
 154.5      5.9      166.6      11   10.02   0.010    4.8ms    993     3
 155.0      5.9      143.8      16   10.00   0.010    4.8ms    993     3
 155.5      5.9      162.4      11    9.98   0.010    4.8ms    993     3
 156.1      5.9      158.9      10   10.01   0.010    4.8ms    993     3
 156.6      5.9      143.7      16    9.99   0.010    4.8ms    993     3
 157.1      5.9      185.5       9   10.02   0.010    4.8ms    993     3
 157.6      5.9      152.0      17   10.00   0.010    4.8ms    993     3
 158.1      6.0      138.1      14    9.97   0.010    4.8ms    993     3
 158.6      6.0      159.7      11   10.03   0.010    4.8ms    993     3
 159.1      6.0      161.3      13   10.01   0.010    4.8ms    993     3
 159.6      6.0      146.7      14    9.99   0.010    4.8ms    993     3
 160.1      6.0      151.7      10   10.00   0.010    4.8ms    993     3
 160.6      6.0      126.4      13   10.00   0.010    4.8ms    993     3
 161.1      6.0      157.5      12   10.02   0.010    4.8ms    993     3
 161.6      6.0      134.6      13   10.00   0.010    4.8ms    993     3
 162.1      6.1      163.5      11   10.00   0.010    4.8ms    993     3
 162.6      6.1      138.4      14    9.99   0.010    4.8ms    993     3
 163.1      6.1      158.0      14   10.00   0.010    4.8ms    993     3
 163.7      6.1      138.7      15   10.01   0.010    4.8ms    993     3
 164.2      6.1      152.9      14   10.01   0.010    4.8ms    993     3
 164.7      6.1      151.6      10    9.99   0.010    4.8ms    993     3
 165.2      6.1      165.7      12    9.99   0.010    4.8ms    993     3
 165.7      6.2      139.0      13   10.00   0.010    4.8ms    993     3
 166.2      6.2      169.6      12   10.01   0.010    4.8ms    993     3
 166.7      6.2      155.9      14    9.97   0.010    4.8ms    993     3
 167.2      6.2      167.6      10   10.00   0.010    4.8ms    993     3
 167.7      6.2      153.1      13   10.04   0.010    4.8ms    993     3
 168.2      6.2      166.9      12    9.99   0.010    4.8ms    993     3
 168.7      6.2      170.7      12    9.98   0.010    4.8ms    993     3
 169.2      6.2      165.6      14   10.01   0.010    4.8ms    993     3
 169.7      6.3      134.2      10    9.99   0.010    4.8ms    993     3
 170.2      6.3      142.0      10   10.01   0.010    4.8ms    993     3
 170.7      6.3      150.9      10   10.01   0.010    4.8ms    993     3
 171.2      6.3      148.9      13   10.00   0.010    4.8ms    993     3
 171.7      6.3      151.0      11   10.01   0.010    4.8ms    993     3
 172.2      6.3      156.8      13   10.00   0.010    4.8ms    993     3
 172.7      6.3      149.0      14    9.99   0.010    4.8ms    993     3
 173.2      6.3      158.9      13   10.01   0.010    4.8ms    993     3
 173.8      6.3      143.1      15    9.99   0.010    4.8ms    993     3
 174.3      6.4      137.2      13   10.02   0.010    4.8ms    993     3
 174.8      6.4      153.0       8    9.99   0.010    4.8ms    993     3
 175.3      6.4      119.2      11   10.01   0.010    4.8ms    993     3
 175.8      6.4      141.0      11    9.98   0.010    4.8ms    993     3
 176.3      6.4      142.9      13   10.00   0.010    4.8ms    993     3
 176.8      6.4      147.0      13   10.01   0.010    4.8ms    993     3
 177.3      6.4      154.0      11    9.97   0.010    4.8ms    993     3
 177.8      6.4      140.1      13   10.01   0.010    4.8ms    993     3
 178.3      6.4      177.3      10   10.02   0.010    4.8ms    993     3
 178.8      6.5      146.2      14    9.98   0.010    4.8ms    993     3
 179.3      6.5      147.1      14   10.01   0.010    4.8ms    993     3
 179.8      6.5      149.0      12   10.01   0.010    4.8ms    993     3
 180.3      6.5      152.8      15   10.00   0.010    4.8ms    993     3
 180.8      6.5      149.0      14    9.99   0.010    4.8ms    993     3
 181.3      6.5      146.1      15    9.99   0.010    4.8ms    993     3
 181.8      6.5      151.9       8   10.01   0.010    4.8ms    993     3
 182.3      6.5      163.7      12    9.99   0.010    4.8ms    993     3
 182.8      6.6      126.8      13   10.01   0.010    4.8ms    993     3
 183.3      6.6      133.2      14   10.02   0.010    4.8ms    993     3
 183.8      6.6      126.3      15    9.99   0.010    4.8ms    993     3
 184.4      6.6      161.4      13    9.99   0.010    4.8ms    993     3
 184.9      6.6      120.2      15   10.00   0.010    4.8ms    993     3
 185.4      6.6      136.0      15   10.00   0.010    4.8ms    993     3
 185.9      6.6      163.4       8    9.99   0.010    4.8ms    993     3
 186.4      6.6      130.2      11   10.01   0.010    4.8ms    993     3
 186.9      6.7      151.4      12   10.00   0.010    4.8ms    993     3
 187.4      6.7      143.9      11    9.98   0.010    4.8ms    993     3
 187.9      6.7      157.6      12   10.02   0.010    4.8ms    993     3
 188.4      6.7      149.9      15    9.99   0.010    4.8ms    993     3
 188.9      6.7      146.1      14   10.02   0.010    4.8ms    993     3
 189.4      6.7      150.9      17   10.00   0.010    4.8ms    993     3
 189.9      6.7      157.6      14   10.00   0.010    4.8ms    993     3
 190.4      6.8      135.9      16    9.97   0.010    4.8ms    993     3
 190.9      6.8      143.9      15   10.03   0.010    4.8ms    993     3
 191.5      6.8      137.2      12    9.99   0.010    4.8ms    993     3
 192.0      6.8      170.8      10   10.01   0.010    4.8ms    993     3
 192.5      6.8      149.6      15    9.99   0.010    4.8ms    993     3
 193.0      6.8      155.8      12   10.01   0.010    4.8ms    993     3
