[eBPF] Layer 1: ✅ Using existing /home/ammu/ccn-linux-qdisc-study/scripts/../ebpf/tc_monitor.o
[eBPF] Layer 2: Attaching to ns1/veth1...
[eBPF] Layer 2: ✅ Attached — filter protocol all pref 49152 bpf chain 0 handle 0x1 tc_mon
[eBPF] Layer 3: Locating BPF maps via bpftool...
[eBPF] Layer 3: ✅ flow_map id=22
[eBPF] Layer 3: ✅ global_map id=23

════════════════════════════════════════════════════════════════════════
  ACAPE v5.0.0  |  mode: eBPF (clang+tc+bpftool)
  metrics → /home/ammu/ccn-linux-qdisc-study/logs/acape_metrics_20260402_131706.csv
════════════════════════════════════════════════════════════════════════
      t      regime         traj        pred      dr/s     bl   flows  eleph      rtt      wkld     tgt    lim   adj
  102.8       HEAVY       STABLE       HEAVY   59600.5    249       0      0    0.00ms      MICE    1.0ms    256    15
  103.4       HEAVY       STABLE       HEAVY   62109.9    230       0      0    0.00ms      MICE    1.0ms    256    15
  103.9       HEAVY       STABLE       HEAVY   55206.5    255       0      0    0.00ms      MICE    1.0ms    256    15
  104.4       HEAVY       STABLE       HEAVY   56707.0    245       0      0    0.00ms      MICE    1.0ms    256    15
  104.9       HEAVY       STABLE       HEAVY   52508.4    240       0      0    0.00ms      MICE    1.0ms    256    15
  105.4       HEAVY       STABLE       HEAVY   59401.1    242       0      0    0.00ms      MICE    1.0ms    256    15
  105.9       HEAVY   RECOVERING    MODERATE   56908.3    241       0      0    0.00ms      MICE    1.0ms    256    15
  106.4       HEAVY   RECOVERING    MODERATE   57252.7    237       0      0    0.00ms      MICE    1.0ms    256    15
  106.9       HEAVY   RECOVERING    MODERATE   52635.8    225       0      0    0.00ms      MICE    1.0ms    256    15
  107.5       HEAVY   RECOVERING    MODERATE   57208.9    232       0      0    0.00ms      MICE    1.0ms    256    15
  108.0       HEAVY   RECOVERING    MODERATE   51422.2    239       0      0    0.00ms      MICE    1.0ms    256    15
  108.5       HEAVY   RECOVERING    MODERATE   58372.1    230       0      0    0.00ms      MICE    1.0ms    256    15
  109.0       HEAVY   RECOVERING    MODERATE   51234.7    245       0      0    0.00ms      MICE    1.0ms    256    15
  109.5       HEAVY   RECOVERING    MODERATE   53303.3    226       0      0    0.00ms      MICE    1.0ms    256    15
  110.0       HEAVY   RECOVERING    MODERATE   52137.0    248       0      0    0.00ms      MICE    1.0ms    256    15
  110.5       HEAVY   RECOVERING    MODERATE   53615.0    238       0      0    0.00ms      MICE    1.0ms    256    15
  111.0       HEAVY       STABLE       HEAVY   61369.7    253       0      0    0.00ms      MICE    1.0ms    256    15
